symbol,current_price,target-price,difference
ASLN,1.66,5.5,3.84
ASM,1.18,2.98,1.8
ASMB,21.81,33,11.190000000000001
ASML,372.12,310,-62.120000000000005
ASND,140.65,179.56,38.91
ASPN,8.43,10,1.5700000000000003
ASPS,10.05,15,4.949999999999999
ASPU,12.01,13.5,1.4900000000000002
ASR,109.42,158,48.58
ASRT,0.8244,1.35,0.5256000000000001
ASRV,2.93,5.19,2.2600000000000002
ASRVP,28.92,0,-28.92
ASTC,2.62,25,22.38
ASTE,52.28,44,-8.280000000000001
ASUR,6.63,9,2.37
ASX,4.14,5,0.8600000000000003
ASYS,5.17,6.25,1.08
AT,2.15,2.52,0.3700000000000001
ATAX,4.54,8.5,3.96
ATCO,8.17,10,1.83
ATCO-D,0,0,0
ATCO-E,0,0,0
ATCO-G,0,0,0
ATCO-H,0,0,0
ATCO-I,0,0,0
ATCX,8.03,11,2.9700000000000006
ATCXW,0.6,0,-0.6
ATEC,5.65,9,3.3499999999999996
ATEN,8.12,9.5,1.3800000000000008
ATEX,45.44,70,24.560000000000002
ATGE,33.16,39,5.840000000000003
ATH,35.37,38,2.6300000000000026
ATH-C,0,0,0
ATHE,2.49,4,1.5099999999999998
ATHM,87.71,86.72,-0.9899999999999949
ATHX,2.35,10.5,8.15
ATI,8.28,13,4.720000000000001
ATIF,1.3,0,-1.3
ATKR,29.28,29.5,0.21999999999999886
ATLC,9.7,3,-6.699999999999999
ATLO,19.51,0,-19.51
ATMP,10.91,0,-10.91
ATNI,58.31,64,5.689999999999998
ATNM,9.28,2.75,-6.529999999999999
ATNX,10.33,29,18.67
ATO,100.84,110,9.159999999999997
ATOM,11.89,10.5,-1.3900000000000006
ATOS,3.38,4,0.6200000000000001
ATR,117.8,118,0.20000000000000284
ATRA,12.67,27.5,14.83
ATRC,40.23,54,13.770000000000003
ATRI,662.49,300,-362.49
ATRO,9.32,7,-2.3200000000000003
ATRS,2.72,6.5,3.78
ATSG,25.83,27,1.1700000000000017
ATTO,10.19,4,-6.1899999999999995
ATUS,26.52,33,6.48
ATV,14.88,4,-10.88
ATVI,83.21,84,0.7900000000000063
ATXI,11.64,12,0.35999999999999943
AU,27.9,25,-2.8999999999999986
AUB,23.28,28,4.719999999999999
AUBAP,26,0,-26
AUBN,42.37,0,-42.37
AUDC,34.27,33,-1.2700000000000031
AUG,2.24,3.14,0.8999999999999999
AUGZ,25.6105,0,-25.6105
AUMN,0.424,0.7,0.27599999999999997
AUPH,15,11.5,-3.5
AUSF,22.31,0,-22.31
AUTL,15.72,25,9.28
AUTO,2.78,2,-0.7799999999999998
AUY,5.98,3.9,-2.0800000000000005
AVA,35.65,41,5.350000000000001
AVAL,4.59,5.5,0.9100000000000001
AVAV,78.47,85,6.530000000000001
AVB,152.41,180,27.590000000000003
AVCO,1.54,0,-1.54
AVCT,4.81,0,-4.81
AVCTW,0.3,0,-0.3
AVD,13.73,19,5.27
AVDE,49.64,0,-49.64
AVDL,8.25,18,9.75
AVDV,47.348,0,-47.348
AVEM,52.174,0,-52.174
AVEO,4.82,24,19.18
AVGO,330.02,350,19.980000000000018
AVGOP,1181.3199,0,-1181.3199
AVGR,0.4719,2.15,1.6781
AVID,7.74,10.5,2.76
AVK,14.2,0.49,-13.709999999999999
